,Date,season,week
0,2021-10-21,2025,7
0,2021-10-24,2025,7
0,2021-10-25,2025,7
0,2021-10-28,2025,8
0,2021-10-31,2025,8
0,2021-11-01,2025,8
0,2021-11-04,2025,9
0,2021-11-07,2025,9
0,2021-11-08,2025,9
0,2021-11-11,2025,10
0,2021-11-14,2025,10
0,2021-11-15,2025,10
0,2021-11-18,2025,11
0,2021-11-21,2025,11
0,2021-11-22,2025,11
0,2021-11-25,2025,12
0,2021-11-28,2025,12
0,2021-11-29,2025,12
0,2021-12-02,2025,13
0,2021-12-05,2025,13
0,2021-12-06,2025,13
0,2021-12-09,2025,14
0,2021-12-12,2025,14
0,2021-12-13,2025,14
0,2021-12-16,2025,15
0,2021-12-18,2025,15
0,2021-12-19,2025,15
0,2021-12-20,2025,15
0,2021-12-21,2025,15
0,2021-12-23,2025,16
0,2021-12-25,2025,16
0,2021-12-26,2025,16
0,2021-12-27,2025,16
0,2022-01-02,2025,17
0,2022-01-03,2025,17
0,2022-01-08,2025,18
0,2022-01-09,2025,18
0,2022-09-08,2025,1
0,2022-09-11,2025,1
0,2022-09-12,2025,1
0,2022-09-15,2025,2
0,2022-09-18,2025,2
0,2022-09-19,2025,2
0,2022-09-22,2025,3
0,2022-09-25,2025,3
0,2022-09-26,2025,3
0,2022-09-29,2025,4
0,2022-10-02,2025,4
0,2022-10-03,2025,4
0,2022-10-06,2025,5
0,2022-10-09,2025,5
0,2022-10-10,2025,5
0,2022-10-13,2025,6
0,2022-10-16,2025,6
0,2022-10-17,2025,6
0,2022-10-20,2025,7
0,2022-10-23,2025,7
0,2022-10-24,2025,7
0,2022-10-27,2025,8
0,2022-10-30,2025,8
0,2022-10-31,2025,8
0,2022-11-03,2025,9
0,2022-11-06,2025,9
0,2022-11-07,2025,9
0,2022-11-10,2025,10
0,2022-11-13,2025,10
0,2022-11-14,2025,10
0,2022-11-17,2025,11
0,2022-11-20,2025,11
0,2022-11-21,2025,11
0,2022-11-24,2025,12
0,2022-11-27,2025,12
0,2022-11-28,2025,12
0,2022-12-01,2025,13
0,2022-12-04,2025,13
0,2022-12-05,2025,13
0,2022-12-08,2025,14
0,2022-12-11,2025,14
0,2022-12-12,2025,14
0,2022-12-15,2025,15
0,2022-12-17,2025,15
0,2022-12-18,2025,15
0,2022-12-19,2025,15
0,2022-12-22,2025,16
0,2022-12-24,2025,16
0,2022-12-25,2025,16
0,2022-12-26,2025,16
0,2022-12-29,2025,17
0,2023-01-01,2025,17
0,2023-01-07,2025,18
0,2023-01-08,2025,18
0,2023-09-07,2025,1
0,2023-09-10,2025,1
0,2023-09-11,2025,1
0,2023-09-14,2025,2
0,2023-09-17,2025,2
0,2023-09-18,2025,2
0,2023-09-21,2025,3
0,2023-09-24,2025,3
0,2023-09-25,2025,3
0,2023-09-28,2025,4
0,2023-10-01,2025,4
0,2023-10-02,2025,4
0,2023-10-05,2025,5
0,2023-10-08,2025,5
0,2023-10-09,2025,5
0,2023-10-12,2025,6
0,2023-10-15,2025,6
0,2023-10-16,2025,6
0,2023-10-19,2025,7
0,2023-10-22,2025,7
0,2023-10-23,2025,7
0,2023-10-26,2025,8
0,2023-10-29,2025,8
0,2023-10-30,2025,8
0,2023-11-02,2025,9
0,2023-11-05,2025,9
0,2023-11-06,2025,9
0,2023-11-09,2025,10
0,2023-11-12,2025,10
0,2023-11-13,2025,10
0,2023-11-16,2025,11
0,2023-11-19,2025,11
0,2023-11-20,2025,11
0,2023-11-23,2025,12
0,2023-11-24,2025,12
0,2023-11-26,2025,12
0,2023-11-27,2025,12
0,2023-11-30,2025,13
0,2023-12-03,2025,13
0,2023-12-04,2025,13
0,2023-12-07,2025,14
0,2023-12-10,2025,14
0,2023-12-11,2025,14
0,2023-12-14,2025,15
0,2023-12-16,2025,15
0,2023-12-17,2025,15
0,2023-12-18,2025,15
0,2023-12-21,2025,16
0,2023-12-23,2025,16
0,2023-12-24,2025,16
0,2023-12-25,2025,16
0,2023-12-28,2025,17
0,2023-12-30,2025,17
0,2023-12-31,2025,17
0,2024-01-06,2025,18
0,2024-01-07,2025,18
0,2024-09-05,2025,1
0,2024-09-06,2025,1
0,2024-09-08,2025,1
